Year,Month,Relative Interest
2010,1,41
2010,2,42
2010,3,44
2010,4,41
2010,5,39
2010,6,36
2010,7,39
2010,8,39
2010,9,39
2010,10,40
2010,11,43
2010,12,55
2011,1,52
2011,2,51
2011,3,52
2011,4,48
2011,5,47
2011,6,49
2011,7,49
2011,8,46
2011,9,49
2011,10,52
2011,11,60
2011,12,73
2012,1,60
2012,2,55
2012,3,60
2012,4,52
2012,5,58
2012,6,59
2012,7,56
2012,8,53
2012,9,55
2012,10,55
2012,11,65
2012,12,84
2013,1,69
2013,2,65
2013,3,67
2013,4,59
2013,5,58
2013,6,61
2013,7,61
2013,8,63
2013,9,57
2013,10,66
2013,11,73
2013,12,90
2014,1,71
2014,2,66
2014,3,73
2014,4,66
2014,5,66
2014,6,65
2014,7,67
2014,8,66
2014,9,65
2014,10,72
2014,11,84
2014,12,98
2015,1,74
2015,2,69
2015,3,73
2015,4,65
2015,5,66
2015,6,67
2015,7,67
2015,8,69
2015,9,63
2015,10,65
2015,11,87
2015,12,100
